CODIGO,CRIADO EM,ATUALIZADO EM,TEMA,INDICADOR,UNIDADE,DEFINICAO,USO,METODOLOGIA,PERIODICIDADE,FONTE
saude_tx_mortalidade_infantil,14/11/26,,Saude,Taxa mortalidade infanitl,óbitos por mil nascidos vivos,Mostra o número médio de anos que um recém-nascido tende a viver se os padrões de morte do momento continuarem os mesmos.,Serve para medir a qualidade de vida e o desenvolvimento de uma região,,,https://cidades.ibge.gov.br/brasil/rj/sao-goncalo/pesquisa/39/30279
saude_exp_vida,14/11/26,,Saude,Expectativa de vida,,Mostra o numero medio de expectativa de vida ao longo dos anos,Serve para medir a qualidade de vida e o desenvolvimento de uma região,,,http://www.atlasbrasil.org.br/consulta/planilha
saude_cob_APS,14/11/26,,Saude,Cobertura atencao primaria (APS),,Mede a proporçao da populaçao que tem atendimento garantido pelas equipes de saude da familia e de atençao basica,Permite identificar vazios assistencias e planejar lotaçao de agentes bem como a reduçao da sobrecarga nas unidades de pronto atendimento (UPAs) e hospitais,,,https://sistemas.saude.rj.gov.br/tabnetbd/webtabx.exe?at_primaria/at_primaria_cobertura.def
saude_cob_BCG,14/11/26,,Saude,Cobertura vacinal (BCG),,Mede a quantidade de aplicaçoes de BGC =>1 ano.,Permite identificar quantos recem nascidos estao protegidos da tuberculose.,,,https://tabnet.datasus.gov.br/cgi/dhdat.exe?bd_pni/cpnibr.def
educ_mat_crches,14/11/26,,Educacacao,Matriculas em creche,,"Número de matrículas de crianças na etapa de creche da educação infantil, destinada, no Censo Escolar, à faixa de 0 a 3 anos. ",Acompanhar a oferta e o atendimento educacional na primeira etapa da educação infantil. É útil para observar expansão ou redução das vagas e dimensionar a demanda por educação infantil.,,,https://www.gov.br/inep/pt-br/acesso-a-informacao/dados-abertos/sinopses-estatisticas/educacao-basica
educ_mat_preescola,14/11/26,,Educacacao,Matricula pré-escola,,"Número de matrículas na pré-escola, etapa da educação infantil destinada a crianças de 4 e 5 anos. ",Acompanhar o atendimento educacional das crianças antes do ensino fundamental e a evolução da oferta de vagas nessa etapa.,,,https://www.gov.br/inep/pt-br/acesso-a-informacao/dados-abertos/sinopses-estatisticas/educacao-basica
educ_mat_anos_iniciais,14/11/26,,Educacacao,Matriculas anos iniciais,,"Número de matrículas nos anos iniciais do ensino fundamental, correspondentes, no ensino fundamental de nove anos, aos 1º ao 5º anos. ",Monitorar o tamanho da população atendida nessa etapa e a evolução da demanda por vagas nos primeiros anos do ensino fundamental.,,,https://www.gov.br/inep/pt-br/acesso-a-informacao/dados-abertos/sinopses-estatisticas/educacao-basica
educ_mat_anos_finais,14/11/26,,Educacacao,Matricula anos finais,,"Número de matrículas nos anos finais do ensino fundamental, correspondentes aos 6º ao 9º anos. ",Acompanhar a quantidade de estudantes atendidos nos anos finais e mudanças na demanda educacional dessa etapa. Também permite comparar a evolução dos anos finais com os anos iniciais.,,,https://www.gov.br/inep/pt-br/acesso-a-informacao/dados-abertos/sinopses-estatisticas/educacao-basica
educ_tx_analfab_11a14,14/11/26,,Educacacao,Taxa analfabetismo 11 a 14 anos,,"Percentual de pessoas de 11 a 14 anos que não sabem ler e escrever, em relação ao total da população dessa mesma faixa etária.",Identificar precocemente a ocorrência de analfabetismo durante a idade correspondente aos anos finais da escolarização obrigatória e acompanhar sua evolução.,,,http://www.atlasbrasil.org.br/consulta/planilha
educ_tx_analfab_15a17,14/11/26,,Educacacao,Taxa analfabetismo 15 a 17 anos,,"Percentual de pessoas de 15 a 17 anos que não sabem ler e escrever, em relação ao total de pessoas dessa faixa etária.",Monitorar a persistência do analfabetismo entre adolescentes e observar a situação educacional desse grupo ao longo do tempo.,,,http://www.atlasbrasil.org.br/consulta/planilha
educ_tx_analfab_18a24,14/11/26,,Educacacao,Taxa de analfabetismo 18 a 24 anos,,"Percentual de pessoas de 18 a 24 anos que não sabem ler e escrever, em relação ao total dessa faixa etária.",Acompanhar a ocorrência de analfabetismo entre jovens que já estão ou deveriam estar além da educação básica obrigatória.,,,http://www.atlasbrasil.org.br/consulta/planilha
educ_tx_analfab_25a29,14/11/26,,Educacacao,Taxa analfabetismo 25 a 29 anos,,"Percentual de pessoas de 25 a 29 anos que não sabem ler e escrever, em relação ao total dessa faixa etária.",Observar a persistência do analfabetismo na população jovem adulta e sua evolução histórica.,,,http://www.atlasbrasil.org.br/consulta/planilha
